"Species","Genus","Family","Envelope","Genome","Discovery.year","Vector","Inhalation","Ingestion","Sexual","Iatrogenic..inc..blood.","Fomites","Broken.Skin","Maternal","Direct.Contact","Transmission.level","Person.to.person","Host.range","Human.only","Non.human.primate","Other.mammals","Birds","Reptiles","Fish"
"Chapare mammarenavirus","Mammarenavirus","Arenaviridae",1,"(-)ssRNA",2008,"0","1","0","0","0","0","0","0","0","2","0","broad","0","0","1","0","0","0"
"Guanarito mammarenavirus","Mammarenavirus","Arenaviridae",1,"(-)ssRNA",1991,"0","1","0","0","0","0","0","0","0","3","1","broad","0","0","1","0","0","0"
"Junín mammarenavirus","Mammarenavirus","Arenaviridae",1,"(-)ssRNA",1958,"0","1","0","0","0","0","0","0","0","3","1","broad","0","0","1","0","0","0"
"Lassa mammarenavirus","Mammarenavirus","Arenaviridae",1,"(-)ssRNA",1970,"0","1","0","0","0","0","0","1","0","3","1","broad","0","0","1","0","0","0"
"Lujo mammarenavirus","Mammarenavirus","Arenaviridae",1,"(-)ssRNA",2009,"0","1","0","0","0","1","0","0","1","3","1","broad","0","0","1","0","0","0"
"Lymphocytic choriomeningitis mammarenavirus","Mammarenavirus","Arenaviridae",1,"(-)ssRNA",1934,"0","1","0","0","0","0","0","1","0","3","1","broad","0","1","1","0","0","0"
"Machupo mammarenavirus","Mammarenavirus","Arenaviridae",1,"(-)ssRNA",1964,"0","1","0","0","0","0","0","0","0","3","1","broad","0","0","1","0","0","0"
"Mobala mammarenavirus","Mammarenavirus","Arenaviridae",1,"(-)ssRNA",1985,"0","1*","0","0","0","0","0","0","0","2","0","broad","0","0","1","0","0","0"
"Pichindé mammarenavirus","Mammarenavirus","Arenaviridae",1,"(-)ssRNA",1974,"0","1*","0","0","0","0","0","0","0","2","0","broad","0","0","1","0","0","0"
"Sabiá mammarenavirus","Mammarenavirus","Arenaviridae",1,"(-)ssRNA",1994,"0","1","0","0","0","0","0","0","0","3","1","broad","0","0","1","0","0","0"
"Whitewater Arroyo mammarenavirus","Mammarenavirus","Arenaviridae",1,"(-)ssRNA",2000,"0","1","0","0","0","0","0","0","0","2","0","broad","0","0","1","0","0","0"
"Mamastrovirus 1","Mamastrovirus","Astroviridae",0,"(+)ssRNA",1975,"0","0","1","0","0","0","0","0","0","4b","1","narrow","1","0","0","0","0","0"
"Mamastrovirus 6","Mamastrovirus","Astroviridae",0,"(+)ssRNA",2008,"0","0","1","0","0","0","0","0","0","4b","1","narrow","1","0","0","0","0","0"
"Mamastrovirus 8","Mamastrovirus","Astroviridae",0,"(+)ssRNA",2009,"0","0","1","0","0","0","0","0","0","4b","1","narrow","1","0","0","0","0","0"
"Mamastrovirus 9","Mamastrovirus","Astroviridae",0,"(+)ssRNA",2009,"0","0","1","0","0","0","0","0","0","4b","1","narrow","1","0","0","0","0","0"
"Alphacoronavirus 1","Alphacoronavirus","Coronaviridae",1,"(+)ssRNA",2007,"0","0","1*","0","0","0","0","0","0","2","0","broad","0","0","1","0","0","0"
"Human coronavirus 229E ","Alphacoronavirus","Coronaviridae",1,"(+)ssRNA",1966,"0","1","0","0","0","1","0","0","0","4b","1","narrow","1","0","0","0","0","0"
"Human coronavirus NL63","Alphacoronavirus","Coronaviridae",1,"(+)ssRNA",2004,"0","1","0","0","0","1","0","0","0","4b","1","narrow","1","0","0","0","0","0"
"Betacoronavirus 1","Betacoronavirus","Coronaviridae",1,"(+)ssRNA",1967,"0","1","0","0","0","1","0","0","0","4a","1","broad","0","0","1","0","0","0"
"Human coronavirus HKU1","Betacoronavirus","Coronaviridae",1,"(+)ssRNA",2005,"0","1","0","0","0","1","0","0","0","4b","1","narrow","1","0","0","0","0","0"
"Middle East respiratory syndrome-related coronavirus","Betacoronavirus","Coronaviridae",1,"(+)ssRNA",2012,"0","1","0","0","0","0","0","0","1","3","1","broad","0","0","1","0","0","0"
